山地民族
村寨协作
爱国叙事叠加
社会凝聚力
社区协作
集体情感唤起
傈僳人民自发纪念
纪念爱国将领
爱国主义精神再生产
社会支持系统
爱国主义精神凝聚
纪念忠臣的道德教化
民族精神符号再造
纪念王骥（忠义之德）
爱国主义教育
联防军民协作史
爱国主义歌词符号植入
攀藤负葛的生存记忆
