村落共同体
全寨清扫
统一行动
杀牲祭祀
集体歌舞
棕扇舞
铓鼓舞
乐作舞
共同价值观
五谷丰登
人畜平安
传统知识共享
梯田耕作集体技术
全寨祭祀分工
村民德行集体评价
村寨传统保护意识
个人创作歌谣
自我表达
被道德评价
