祭寨神林
全村家庭平均分配
共同参与
集体活动
长街宴
老人向子孙传授
伦理道德传承
安身立命
天人和谐
村寨安宁
歌舞升平
家道兴旺
家族成员
集体评价
群体规范
共享祭祀牺牲
村寨凝聚力
祖先历史认同
